id,nome,categoria,valor
79038,Realme Smartwatch Global 5151,Comunicação,5586.14
129928,TCL Home Theater Crystal 4419,Eletrônicos,10586.25
164891,Xiaomi Smartphone Pixel 8 2413,Comunicação,5133.0
195114,Samsung Carregador Rápido Galaxy S23 8718,Comunicação,3917.36
40439,HP Mouse Sem Fio MacBook Air 3051,Informática,12508.54
45817,Oppo Modem 5G Redmi Note 7956,Comunicação,3405.55
139025,LG Smart TV 4K Elite Edition 248,Eletrônicos,9702.02
121250,Razer Monitor Gamer ThinkPad 2666,Informática,4578.25
67036,Motorola Película de Vidro Redmi Note 8744,Comunicação,377.49
99196,TCL Fone de Ouvido Bluetooth Elite Edition 5488,Eletrônicos,6681.72
63983,Acer Monitor Gamer Legion 1046,Informática,698.23
137536,Lenovo SSD 1TB NVMe G Series 7243,Informática,12874.9
104832,Samsung Capa de Silicone Galaxy S23 3148,Comunicação,427.99
79957,Apple Smartwatch Redmi Note 2454,Comunicação,6939.72
107588,JBL Protetor de Surto Pro 2024 8915,Eletrônicos,1907.58
85554,Corsair Placa de Vídeo RTX ROG Strix 584,Informática,9109.02
115080,Asus Teclado Mecânico ThinkPad 3816,Informática,2577.72
99321,Samsung Protetor de Surto Elite Edition 2898,Eletrônicos,9784.05
98040,Logitech Mouse Sem Fio Nitro 5 3585,Informática,13348.65
168868,Nokia Carregador Rápido Redmi Note 4144,Comunicação,5441.42
165446,Apple Carregador Rápido Edition 1287,Comunicação,2276.94
188958,Apple Smartwatch Global 3346,Comunicação,7757.03
17320,Panasonic Fone de Ouvido Bluetooth Ultra Slim 9743,Eletrônicos,6897.94
93663,Samsung Smartwatch Carbon Edition 9594,Comunicação,1988.5
82501,Bose Cabo HDMI 2.1 OLED 3554,Eletrônicos,4532.71
2428,Apple Notebook MacBook Air 3665,Informática,12173.25
188911,Oppo Smartphone Pixel 8 8505,Comunicação,3591.0
183913,Xiaomi Carregador Rápido Carbon Edition 5333,Comunicação,6584.03
89666,Corsair Roteador Wi-Fi 6 Nitro 5 268,Informática,14501.39
102716,Sony Home Theater Ultra Slim 4953,Eletrônicos,3103.67
116950,JBL Home Theater QLED 147,Eletrônicos,11213.64
76690,LG Protetor de Surto Plus 3851,Eletrônicos,9645.82
154508,Razer SSD 1TB NVMe Nitro 5 401,Informática,2921.18
162284,Philips Fone de Ouvido Bluetooth Ultra Slim 1808,Eletrônicos,3365.04
48911,Sony Soundbar QLED 9336,Eletrônicos,7830.11
150869,TCL Fone de Ouvido Bluetooth Elite Edition 3289,Eletrônicos,1921.47
147378,Motorola Smartphone Global 3651,Comunicação,4403.54
81497,Xiaomi Modem 5G Global 8352,Comunicação,3815.92
6271,Huawei Película de Vidro Carbon Edition 7832,Comunicação,7302.31
158506,TCL Soundbar Pro 2024 178,Eletrônicos,8158.41
153653,Acer Mouse Sem Fio Inspiron 251,Informática,11556.39
76102,Panasonic Home Theater OLED 7430,Eletrônicos,10968.3
50898,Apple Smartphone iPhone 15 282,Comunicação,4023.56
37021,TCL Caixa de Som Echo Pro 2024 5547,Eletrônicos,4954.34
93150,Samsung Fone de Ouvido Bluetooth Elite Edition 361,Eletrônicos,3871.67
21568,Panasonic Cabo HDMI 2.1 QLED 3535,Eletrônicos,7230.44
7545,Panasonic Fone de Ouvido Bluetooth OLED 7306,Eletrônicos,9410.14
111871,Huawei Película de Vidro Carbon Edition 6221,Comunicação,767.23
20657,Apple Carregador Rápido Edition 7834,Comunicação,7199.77
68707,Nokia Película de Vidro Galaxy S23 3691,Comunicação,56.49
69257,Huawei Smartwatch Moto G 8474,Comunicação,4587.49
116707,Oppo Capa de Silicone Redmi Note 7102,Comunicação,3419.68
